api_number,tophole_longitude__deg,tophole_latitude__deg,bottomhole_longitude__deg,bottomhole_latitude__deg,well_number,lease_name,permitted_well_type,permit_type,pad,operator_name,play_name,state_name,county_name,basin_name,reservoir_name,field_name,permit_date,drilling_start_date,drilling_end_date,completion_date,tvd__ft,measured_depth__ft,lateral_length__ft,drilltime__day,fracture_stages,fracture_fluid__ugl,proppant__lbs,gravity__api
35051239740000,-97.98992,34.98508,-98.001965,34.965674,2-24h,Undetermined,Oil & Gas,Horizontal,Yes,Unit Petroleum,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Hoxbar,Undetermined,7/17/2015,8/10/2015,9/12/2015,11/17/2015,9548,14590,4789.9,34,29,,,42
35087220320000,-97.66947,35.01594,-97.661975,35.064768,1h-31xr,Harmon,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,McClain,Anadarko Basin-Anadarko,Hunton,Dibble SW,7/19/2015,7/20/2015,8/22/2015,10/11/2015,10922,21388,9942.7,34,,1.55E+07,1.13E+07,44.900002
35017248310000,-98.068107,35.566723,-98.072532,35.586309,11h,Bland 29-13N-8W,Oil & Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Woodford,Undetermined,12/11/2015,12/12/2015,12/31/2015,5/3/2017,11413,16494,4826.95,20,,1.21E+07,1.20E+07,
35017248320000,-97.9441,35.6089,-97.948064,35.616585,1-9wh,Siegrist 1307,Oil & Gas,Horizontal,No,Marathon Oil,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Woodford,Richland N,7/28/2015,7/29/2015,8/25/2015,9/19/2015,9563,15242,5395.05,28,,1.44E+07,1.24E+07,47
35051239730000,-97.680706,34.709761,-97.67545,34.717717,4-24h,Newy,Oil,Horizontal,Yes,Continental Resources,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Woodford,Knox,8/13/2015,8/14/2015,9/22/2015,3/3/2016,14979,20365,5116.7,40,,1.13E+07,8618998.75,
35051239750000,-97.77757,34.85283,-97.77757,34.85283,1-31-30xh,Boatright,Oil & Gas,Horizontal,Yes,Continental Resources,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Woodford,Chitwood,8/14/2015,8/15/2015,12/20/2015,1/31/2017,14129,25600,,,,7771369.4,2517260.491,
35073251410000,-98.19867994,35.82717996,-98.197385,35.847676,2h,Born Free 30,Oil & Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,7/30/2015,7/31/2015,9/5/2015,11/18/2015,9641,14760,4863.05,37,,1.24E+07,1.30E+07,
35073251370000,-97.99332,35.78429,-97.983728,35.833008,1h-6x,Petty,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,7/28/2015,7/29/2015,8/20/2015,9/29/2015,8325,18825,9975,23,,8709613,1.59E+07,45
35073251430000,-98.14241,35.89921,-98.145824,35.949355,1h-27x,Hauser,Oil & Gas,Horizontal,No,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,8/8/2015,8/9/2015,9/8/2015,10/19/2015,8721,19324,10072.85,31,,9075990,3.07E+07,45
35073251440000,-98.13798,35.95769,-98.128677,36.006023,1h-2x,Jan,Oil & Gas,Horizontal,No,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,8/4/2015,8/5/2015,9/3/2015,11/7/2015,8392,18818,9904.7,30,,1.06E+07,1.51E+07,43
35137274330000,-97.61731,34.63959,-97.626134,34.588818,1h-21x,Doyle,Oil & Gas,Horizontal,No,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Stephens,Anadarko Basin-Anadarko,Springer,Pearl NE,7/31/2015,8/1/2015,9/5/2015,11/16/2015,14216,23211,8545.25,36,,5762043,8065335.987,43.299999
35017248150000,-98.087913,35.566243,-98.08726,35.581324,8h,Ted 30-13N-8W,Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Woodford,Undetermined,11/10/2015,11/11/2015,12/2/2015,2/19/2017,11623,16895,5008.4,22,,1.20E+07,1.20E+07,
35017248220000,-98.097424,35.566251,-98.098463,35.579895,3h,Ted 30-13N-8W,Gas,Horizontal,Yes,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Woodford,Undetermined,10/10/2015,10/11/2015,10/29/2015,2/20/2017,11804,16997,4933.35,19,,9600773,8985472.978,
35051239700000,-97.75056979,35.31258212,-97.753312,35.328702,1h-19,Osborn,Oil,Horizontal,Yes,Citizen Energy II,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Mississippian,Undetermined,9/10/2015,9/11/2015,10/18/2015,11/14/2015,9301,14958,5374.15,38,,9224492,9045029.812,45
35073251490000,-97.88675,35.84303,-97.876609,35.890729,1h-18x,Edgar,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,9/11/2015,9/12/2015,10/15/2015,12/18/2015,7534,17936,9881.9,34,,8882703,1.58E+07,
35011235280000,-98.06863,35.95892,-98.06863,35.95892,1-7-6xh,Blurton,Oil & Gas,Horizontal,Yes,Continental Resources,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Meramec,Undetermined,8/12/2015,8/13/2015,11/2/2015,1/8/2016,9864,20015,9643.45,82,,1.10E+07,1.88E+07,45.959999
35051239790000,-97.986146,35.093661,-97.980299,35.119419,1-7-6xh,Hartley,Oil & Gas,Horizontal,Yes,Red Wolf Operating,SCOOP-STACK-Cana,Oklahoma,Grady,Anadarko Basin-Anadarko,Woodford,Watonga-Chickasha Trend,9/7/2015,9/8/2015,12/26/2015,1/4/2016,15837,19272,3263.25,110,,3909318,3005467.993,
35011235340000,-98.46887,35.68231,-98.46159,35.717571,1-15-10xh,Boden,Oil & Gas,Horizontal,Yes,Continental Resources,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Meramec,Undetermined,8/25/2015,8/26/2015,10/17/2015,11/29/2015,12400,22725,9808.75,53,,,,54
35017248370000,-98.116055,35.668093,-98.10796914,35.68730764,1-24h,Janice,Oil & Gas,Horizontal,Yes,Marathon Oil,SCOOP-STACK-Cana,Oklahoma,Canadian,Anadarko Basin-Anadarko,Meramec,Undetermined,12/16/2016,12/17/2016,1/24/2017,3/24/2017,10692,15640,4700.6,39,,1.26E+07,1.46E+07,
35073251590000,-98.137929,35.928271,-98.128417,35.977631,1h-14x,Billie Dove,Oil & Gas,Horizontal,No,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,9/7/2015,9/8/2015,10/9/2015,11/19/2015,8695,19056,9842.95,32,,9690744,1.55E+07,43
35073251610000,-98.19876673,35.81276313,-98.195514,35.834163,2ah,Boomer 31,Oil & Gas,Horizontal,No,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,9/13/2015,9/14/2015,10/8/2015,8/6/2016,9607,14694,4832.65,25,,1.01E+07,1.18E+07,
35073251640000,-97.69451,36.08764,-97.681136,36.065564,36-m1h,Juanita,Oil,Horizontal,Yes,Longfellow Energy,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Salina-Sedgwick Basin-Sedgwick,Osage,Undetermined,10/20/2015,10/21/2015,11/15/2015,12/12/2015,6400,11200,4560,26,,1.20E+07,1587236.431,39
35073251540000,-97.732576,35.956662,-97.738471,35.977251,2-9mh,Hoskins 1705,Oil,Horizontal,Yes,Alta Mesa Holdings,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Mississippian,Undetermined,9/14/2015,9/15/2015,10/4/2015,10/22/2015,7073,12230,4899.15,20,,1.16E+07,3540604.362,39
35011235350000,-98.3064,35.9785,-98.307033,35.991832,1H-6R,Palmer,Oil & Gas,Horizontal,Yes,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Meramec,Undetermined,9/4/2015,9/4/2015,10/1/2015,10/29/2015,9107,13999,4647.4,28,,4177828,6984983.232,
35011235380000,-98.26925,35.74047,-98.266508,35.760495,3h,Post Road-Carol 28,Oil & Gas,Horizontal,No,Devon Energy,SCOOP-STACK-Cana,Oklahoma,Blaine,Anadarko Basin-Anadarko,Meramec,Undetermined,10/10/2015,10/11/2015,11/7/2015,1/3/2016,10860,16060,4940,28,,1.33E+07,1.30E+07,
35073251710000,-98.02868,35.95726,-98.024395,36.006908,1h-2x,Loris,Oil & Gas,Horizontal,No,Ovintiv,SCOOP-STACK-Cana,Oklahoma,Kingfisher,Anadarko Basin-Anadarko,Meramec,Undetermined,9/22/2015,9/23/2015,11/12/2015,2/2/2015,8041,18585,10016.8,51,,9915470,1.48E+07,45
